11966,11958,0.5
14124,14118,1.0
19931,19926,1.5
21910,21910,2.0 
25655,25654,2.5 
29645,29638,3.0
-29613,-29626,3.5 
-29348,-29354,4.0
-24699,-24714,4.5 
-18694,-18698,5.0
-16314,-16314,5.5 
-11481,-11482,6.0
-7948,-7962,6.5
-5827,-5834,7.0
-2080,-2090,7.5
2591,2582,8.0
5365,5350,8.5
9130,9126,9.0
16118,16118,9.5
18199,18198,10.0
20516,20502,10.5
27053,27046,11.0
29737,29734,11.5
-32306,-32314,12.0
-26353,-26362,12.5
-23620,-23626,13.0
-18598,-18602,13.5
-16287,-16298,14.0
-12378,-12378,14.5
-8108,-8122,15.0
-6734,-6746,15.5
-477,-490,16.0
4222,4214,16.5
6380,6375,17.0
11608,11606,17.5
16081,16070,18.0
18518,18518,18.5
20471,20470,19.0
24094,24086,19.5
31344,31334,20.0
