0.149,0.079
0.149,0.079
0.157,0.079
0.149,0.079
0.149,0.079
0.157,0.079
0.157,0.079
0.149,0.079
0.149,0.079
0.157,0.071
0.157,0.071
0.399,0.329
0.149,0.071
0.157,0.071
0.149,0.071
0.407,0.071
0.149,0.071
0.149,0.079
0.149,0.079
0.149,0.079
0.149,0.079
0.149,0.079
0.149,0.079
0.399,0.079
0.149,0.079
0.149,0.079
0.149,0.079
0.149,0.079
0.149,0.079
0.649,0.579
0.149,0.079
0.149,0.079
0.149,0.079
0.149,0.079
0.157,0.079
0.157,0.079
0.157,0.079
0.157,0.079
0.274,0.196
0.157,0.071
0.157,0.071
0.524,0.321
0.407,0.071
0.157,0.071
0.157,0.071
0.149,0.071
-1.999,-256.000
0.149,0.071
0.157,0.071
0.149,0.071
0.157,0.071
0.157,0.071
0.157,0.071
0.399,0.321
0.149,0.071
0.149,0.071
0.149,0.071
0.157,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.157,0.071
0.157,0.071
0.407,0.321
0.149,0.071
0.149,0.071
0.274,0.203
0.149,0.071
0.149,0.078
0.274,0.203
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.157,0.071
0.157,0.071
0.407,0.321
0.157,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.078
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
0.149,0.071
xxx,xxx
0.453,0.133
0.586,0.125
0.203,0.125
0.203,0.125
0.453,0.383
0.453,0.125
0.578,0.250
1.078,0.125
0.203,0.125
0.203,0.125
0.211,0.133
0.203,0.125
0.203,0.125
0.203,0.125
0.203,0.133
0.453,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.125
0.328,0.258
0.578,0.125
0.203,0.125
0.203,0.125
0.203,0.125
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.117
0.203,0.133
0.203,0.133
0.461,0.383
0.336,0.250
0.453,0.375
0.203,0.133
0.203,0.133
0.203,0.133
0.211,0.133
0.328,0.258
0.461,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.453,0.383
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
1.65240,0.375
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.211,0.133
0.461,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.211,0.125
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.211,0.133
0.203,0.125
0.203,0.125
0.211,0.125
0.203,0.125
0.203,0.125
0.328,0.250
0.203,0.125
0.453,0.383
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.328,0.258
0.203,0.133
0.453,0.375
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.453,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.203,0.133
0.453,0.375
0.203,0.133
0.203,0.133
0.328,0.258
xxx,xxx
